chromosome,start,end,width,strand,name,geneStart,geneEnd,geneLength,geneId,distanceToTSS
AaegL5_1,177790831,177791186,356,*,aaeBF_Ac_rep12-kd-q5_peak_2250,177635067,177726653,91587,AAEL002741,155764
AaegL5_1,178993428,178993714,287,*,aaeBF_Ac_rep12-kd-q5_peak_2266,178798527,178869242,70716,AAEL006589,-124186
AaegL5_1,179310267,179310504,238,*,aaeBF_Ac_rep12-kd-q5_peak_2267,179441319,179442045,727,AAEL022871,131541
AaegL5_1,180225454,180225638,185,*,aaeBF_Ac_rep12-kd-q5_peak_2272,180079016,180091913,12898,AAEL006597,146438
AaegL5_1,180244487,180244715,229,*,aaeBF_Ac_rep12-kd-q5_peak_2273,180079016,180091913,12898,AAEL006597,165471
AaegL5_1,180590680,180591038,359,*,aaeBF_Ac_rep12-kd-q5_peak_2275,180416396,180496359,79964,AAEL005247,-94321
AaegL5_1,181587137,181587744,608,*,aaeBF_Ac_rep12-kd-q5_peak_2292,181448631,181469605,20975,AAEL005242,138506
AaegL5_1,186084419,186084595,177,*,aaeBF_Ac_rep12-kd-q5_peak_2365,185814436,185887104,72669,AAEL013733,-197315
AaegL5_1,186840068,186840231,164,*,aaeBF_Ac_rep12-kd-q5_peak_2369,186894409,186942332,47924,AAEL007644,-54178
AaegL5_1,187468910,187469157,248,*,aaeBF_Ac_rep12-kd-q5_peak_2392,187373451,187460588,87138,AAEL020347,95459
AaegL5_1,187487946,187488137,192,*,aaeBF_Ac_rep12-kd-q5_peak_2393,187373451,187460588,87138,AAEL020347,114495
AaegL5_1,187503279,187503449,171,*,aaeBF_Ac_rep12-kd-q5_peak_2394,187373451,187460588,87138,AAEL020347,129828
AaegL5_1,187727810,187728150,341,*,aaeBF_Ac_rep12-kd-q5_peak_2395,187902049,187903039,991,AAEL022171,174889
AaegL5_1,188317677,188318006,330,*,aaeBF_Ac_rep12-kd-q5_peak_2409,188205838,188221782,15945,AAEL026518,111839
AaegL5_1,188568559,188568729,171,*,aaeBF_Ac_rep12-kd-q5_peak_2415,188324780,188430162,105383,AAEL010907,-138397
AaegL5_1,188596354,188596651,298,*,aaeBF_Ac_rep12-kd-q5_peak_2416,188324780,188430162,105383,AAEL010907,-166192
AaegL5_1,188691317,188691521,205,*,aaeBF_Ac_rep12-kd-q5_peak_2417,188794273,188809027,14755,AAEL015637,-102752
AaegL5_1,188713680,188713985,306,*,aaeBF_Ac_rep12-kd-q5_peak_2418,188794273,188809027,14755,AAEL015637,-80288
AaegL5_1,194738242,194738423,182,*,aaeBF_Ac_rep12-kd-q5_peak_2533,194685599,194686054,456,AAEL020612,-52188
AaegL5_1,194738995,194739407,413,*,aaeBF_Ac_rep12-kd-q5_peak_2534,194685599,194686054,456,AAEL020612,-52941
AaegL5_1,194756388,194756916,529,*,aaeBF_Ac_rep12-kd-q5_peak_2535,194685599,194686054,456,AAEL020612,-70334
AaegL5_1,194767773,194767945,173,*,aaeBF_Ac_rep12-kd-q5_peak_2536,194829213,194849832,20620,AAEL018110,-61268
AaegL5_1,203440614,203440927,314,*,aaeBF_Ac_rep12-kd-q5_peak_2644,203290454,203427881,137428,AAEL003794,150160
AaegL5_1,203472538,203472710,173,*,aaeBF_Ac_rep12-kd-q5_peak_2645,203577581,203637654,60074,AAEL024720,164944
AaegL5_1,203526034,203526338,305,*,aaeBF_Ac_rep12-kd-q5_peak_2646,203577581,203637654,60074,AAEL024720,111316
AaegL5_1,203571082,203571286,205,*,aaeBF_Ac_rep12-kd-q5_peak_2647,203577581,203637654,60074,AAEL024720,66368
AaegL5_1,212457976,212458248,273,*,aaeBF_Ac_rep12-kd-q5_peak_2799,212301616,212302292,677,AAEL020628,156360
AaegL5_1,220676835,220677157,323,*,aaeBF_Ac_rep12-kd-q5_peak_2918,220609147,220610459,1313,AAEL004561,67688
AaegL5_1,220709761,220710040,280,*,aaeBF_Ac_rep12-kd-q5_peak_2919,220785376,220785447,72,AAEL018910,75407
AaegL5_1,221435238,221435453,216,*,aaeBF_Ac_rep12-kd-q5_peak_2937,220751302,221353354,602053,AAEL004572,-81884
AaegL5_1,221476089,221476524,436,*,aaeBF_Ac_rep12-kd-q5_peak_2938,220751302,221353354,602053,AAEL004572,-122735
AaegL5_1,221506658,221506845,188,*,aaeBF_Ac_rep12-kd-q5_peak_2939,220751302,221353354,602053,AAEL004572,-153304
AaegL5_1,222969184,222969395,212,*,aaeBF_Ac_rep12-kd-q5_peak_2955,222901341,222903554,2214,AAEL026149,-65630
AaegL5_1,223068203,223068437,235,*,aaeBF_Ac_rep12-kd-q5_peak_2956,223134103,223155494,21392,AAEL009644,-65666
AaegL5_1,228984071,228984237,167,*,aaeBF_Ac_rep12-kd-q5_peak_3028,228998772,229041770,42999,AAEL002546,57533
AaegL5_1,230811433,230811621,189,*,aaeBF_Ac_rep12-kd-q5_peak_3046,230930411,230930935,525,AAEL022158,119314
AaegL5_1,231100990,231101157,168,*,aaeBF_Ac_rep12-kd-q5_peak_3047,230987534,230990103,2570,AAEL010923,113456
AaegL5_1,232468820,232469003,184,*,aaeBF_Ac_rep12-kd-q5_peak_3054,232362978,232363979,1002,AAEL021464,-104841
AaegL5_1,232535276,232535451,176,*,aaeBF_Ac_rep12-kd-q5_peak_3055,232654765,232957483,302719,AAEL002769,-119314
AaegL5_1,233899981,233900298,318,*,aaeBF_Ac_rep12-kd-q5_peak_3092,234024434,234027512,3079,AAEL009108,-124136
AaegL5_1,233939352,233939651,300,*,aaeBF_Ac_rep12-kd-q5_peak_3093,234024434,234027512,3079,AAEL009108,-84783
AaegL5_1,233964429,233964871,443,*,aaeBF_Ac_rep12-kd-q5_peak_3094,234024434,234027512,3079,AAEL009108,-59563
AaegL5_1,234891197,234891414,218,*,aaeBF_Ac_rep12-kd-q5_peak_3137,234949664,234950597,934,AAEL028240,59183
AaegL5_1,235015198,235015390,193,*,aaeBF_Ac_rep12-kd-q5_peak_3142,234949664,234950597,934,AAEL028240,-64601
AaegL5_1,235017322,235017618,297,*,aaeBF_Ac_rep12-kd-q5_peak_3143,234949664,234950597,934,AAEL028240,-66725
AaegL5_1,235042626,235042884,259,*,aaeBF_Ac_rep12-kd-q5_peak_3144,235091604,235096303,4700,AAEL025611,53419
AaegL5_1,235043062,235043625,564,*,aaeBF_Ac_rep12-kd-q5_peak_3145,235091604,235096303,4700,AAEL025611,52678
AaegL5_1,235252950,235253180,231,*,aaeBF_Ac_rep12-kd-q5_peak_3160,235201425,235203072,1648,AAEL023619,51525
AaegL5_1,235269523,235269780,258,*,aaeBF_Ac_rep12-kd-q5_peak_3161,235201425,235203072,1648,AAEL023619,68098
AaegL5_1,235270556,235270720,165,*,aaeBF_Ac_rep12-kd-q5_peak_3162,235201425,235203072,1648,AAEL023619,69131
AaegL5_1,235292741,235293159,419,*,aaeBF_Ac_rep12-kd-q5_peak_3163,235201425,235203072,1648,AAEL023619,91316
AaegL5_1,235308051,235308344,294,*,aaeBF_Ac_rep12-kd-q5_peak_3164,235201425,235203072,1648,AAEL023619,106626
AaegL5_1,235309460,235309656,197,*,aaeBF_Ac_rep12-kd-q5_peak_3165,235201425,235203072,1648,AAEL023619,108035
AaegL5_1,235309961,235310133,173,*,aaeBF_Ac_rep12-kd-q5_peak_3166,235201425,235203072,1648,AAEL023619,108536
AaegL5_1,235339675,235340251,577,*,aaeBF_Ac_rep12-kd-q5_peak_3167,235201425,235203072,1648,AAEL023619,138250
AaegL5_1,235352209,235352424,216,*,aaeBF_Ac_rep12-kd-q5_peak_3168,235201425,235203072,1648,AAEL023619,150784
AaegL5_1,235373239,235373423,185,*,aaeBF_Ac_rep12-kd-q5_peak_3169,235426558,235536553,109996,AAEL008334,163130
AaegL5_1,236107562,236107736,175,*,aaeBF_Ac_rep12-kd-q5_peak_3176,236300120,236310898,10779,AAEL022231,-192384
AaegL5_1,236582719,236582993,275,*,aaeBF_Ac_rep12-kd-q5_peak_3178,236612711,236677089,64379,AAEL004398,94096
AaegL5_1,238446829,238447081,253,*,aaeBF_Ac_rep12-kd-q5_peak_3190,238521416,238522157,742,AAEL020268,75076
AaegL5_1,239982247,239982423,177,*,aaeBF_Ac_rep12-kd-q5_peak_3208,239858408,239860187,1780,AAEL025802,-122060
AaegL5_1,249053986,249054301,316,*,aaeBF_Ac_rep12-kd-q5_peak_3341,249118235,249121748,3514,AAEL003766,-63934
AaegL5_1,251360171,251360645,475,*,aaeBF_Ac_rep12-kd-q5_peak_3383,251421495,251512187,90693,AAEL024181,-60850
AaegL5_1,251530865,251531040,176,*,aaeBF_Ac_rep12-kd-q5_peak_3391,251421495,251512187,90693,AAEL024181,109370
AaegL5_1,251575026,251575821,796,*,aaeBF_Ac_rep12-kd-q5_peak_3392,251712382,251718100,5719,AAEL022694,142279
AaegL5_1,251592928,251593100,173,*,aaeBF_Ac_rep12-kd-q5_peak_3393,251712382,251718100,5719,AAEL022694,125000
AaegL5_1,251612710,251613116,407,*,aaeBF_Ac_rep12-kd-q5_peak_3394,251712382,251718100,5719,AAEL022694,104984
AaegL5_1,251636021,251636277,257,*,aaeBF_Ac_rep12-kd-q5_peak_3395,251712382,251718100,5719,AAEL022694,81823
AaegL5_1,251641662,251641854,193,*,aaeBF_Ac_rep12-kd-q5_peak_3396,251712382,251718100,5719,AAEL022694,76246
AaegL5_1,251785540,251785836,297,*,aaeBF_Ac_rep12-kd-q5_peak_3407,251712382,251718100,5719,AAEL022694,-67440
AaegL5_1,251798085,251798271,187,*,aaeBF_Ac_rep12-kd-q5_peak_3408,251712382,251718100,5719,AAEL022694,-79985
AaegL5_1,251799763,251799941,179,*,aaeBF_Ac_rep12-kd-q5_peak_3409,251712382,251718100,5719,AAEL022694,-81663
AaegL5_1,251817125,251817301,177,*,aaeBF_Ac_rep12-kd-q5_peak_3410,251906097,251910325,4229,AAEL024027,93024
AaegL5_1,251822063,251822370,308,*,aaeBF_Ac_rep12-kd-q5_peak_3411,251906097,251910325,4229,AAEL024027,87955
AaegL5_1,251829425,251829684,260,*,aaeBF_Ac_rep12-kd-q5_peak_3412,251906097,251910325,4229,AAEL024027,80641
AaegL5_1,252039788,252040095,308,*,aaeBF_Ac_rep12-kd-q5_peak_3419,251979699,251980571,873,AAEL026464,-59217
AaegL5_1,252059947,252060285,339,*,aaeBF_Ac_rep12-kd-q5_peak_3420,251979699,251980571,873,AAEL026464,-79376
AaegL5_1,252077490,252077843,354,*,aaeBF_Ac_rep12-kd-q5_peak_3421,251979699,251980571,873,AAEL026464,-96919
AaegL5_1,252078287,252078755,469,*,aaeBF_Ac_rep12-kd-q5_peak_3422,251979699,251980571,873,AAEL026464,-97716
AaegL5_1,252101619,252101969,351,*,aaeBF_Ac_rep12-kd-q5_peak_3423,252203806,252204114,309,AAEL027630,102145
AaegL5_1,252102208,252102379,172,*,aaeBF_Ac_rep12-kd-q5_peak_3424,252203806,252204114,309,AAEL027630,101735
AaegL5_1,252119062,252119242,181,*,aaeBF_Ac_rep12-kd-q5_peak_3425,252203806,252204114,309,AAEL027630,84872
AaegL5_1,252871029,252871224,196,*,aaeBF_Ac_rep12-kd-q5_peak_3442,252740640,252741176,537,AAEL023276,-129853
AaegL5_1,254092551,254092769,219,*,aaeBF_Ac_rep12-kd-q5_peak_3497,254003338,254028751,25414,AAEL025250,89213
AaegL5_1,254139768,254139999,232,*,aaeBF_Ac_rep12-kd-q5_peak_3498,254003338,254028751,25414,AAEL025250,136430
AaegL5_1,254204701,254204928,228,*,aaeBF_Ac_rep12-kd-q5_peak_3499,254285326,254287207,1882,AAEL014924,-80398
AaegL5_1,254378143,254378312,170,*,aaeBF_Ac_rep12-kd-q5_peak_3502,254455324,254457504,2181,AAEL002863,79192
AaegL5_1,259627659,259627825,167,*,aaeBF_Ac_rep12-kd-q5_peak_3612,259512227,259512452,226,AAEL021603,-115207
AaegL5_1,259633417,259633588,172,*,aaeBF_Ac_rep12-kd-q5_peak_3613,259512227,259512452,226,AAEL021603,-120965
AaegL5_1,259648584,259648757,174,*,aaeBF_Ac_rep12-kd-q5_peak_3614,259773870,259780771,6902,AAEL007386,-125113
AaegL5_1,260883707,260884000,294,*,aaeBF_Ac_rep12-kd-q5_peak_3638,260790313,260791750,1438,AAEL021665,-91957
AaegL5_1,261153832,261154018,187,*,aaeBF_Ac_rep12-kd-q5_peak_3640,261057808,261059922,2115,AAEL002951,96024
AaegL5_1,261577942,261578350,409,*,aaeBF_Ac_rep12-kd-q5_peak_3657,261514256,261539395,25140,AAEL002978,63686
AaegL5_1,261687817,261687990,174,*,aaeBF_Ac_rep12-kd-q5_peak_3658,261514256,261539395,25140,AAEL002978,173561
AaegL5_1,267277234,267277586,353,*,aaeBF_Ac_rep12-kd-q5_peak_3699,267312370,267335109,22740,AAEL007209,57523
AaegL5_1,268567333,268567707,375,*,aaeBF_Ac_rep12-kd-q5_peak_3740,268483254,268516821,33568,AAEL010411,-50512
AaegL5_1,268577175,268577537,363,*,aaeBF_Ac_rep12-kd-q5_peak_3741,268627150,268628841,1692,AAEL027258,51304
AaegL5_1,272990935,272991122,188,*,aaeBF_Ac_rep12-kd-q5_peak_3841,273130958,273131029,72,AAEL029003,139907
AaegL5_1,274050085,274050412,328,*,aaeBF_Ac_rep12-kd-q5_peak_3843,273996668,273997724,1057,AAEL024118,-52361
AaegL5_1,275457172,275457380,209,*,aaeBF_Ac_rep12-kd-q5_peak_3872,275397570,275402804,5235,AAEL003163,59602
AaegL5_1,275469290,275469861,572,*,aaeBF_Ac_rep12-kd-q5_peak_3873,275397570,275402804,5235,AAEL003163,71720
AaegL5_1,275487938,275488766,829,*,aaeBF_Ac_rep12-kd-q5_peak_3874,275397570,275402804,5235,AAEL003163,90368
AaegL5_1,275514346,275515036,691,*,aaeBF_Ac_rep12-kd-q5_peak_3875,275397570,275402804,5235,AAEL003163,116776
AaegL5_1,275529127,275529584,458,*,aaeBF_Ac_rep12-kd-q5_peak_3876,275397570,275402804,5235,AAEL003163,131557
AaegL5_1,275590206,275590471,266,*,aaeBF_Ac_rep12-kd-q5_peak_3877,275397570,275402804,5235,AAEL003163,192636
AaegL5_1,275667667,275667867,201,*,aaeBF_Ac_rep12-kd-q5_peak_3878,275784410,275784631,222,AAEL023195,116764
AaegL5_1,275712375,275712730,356,*,aaeBF_Ac_rep12-kd-q5_peak_3879,275784410,275784631,222,AAEL023195,71901
AaegL5_1,282722810,282722972,163,*,aaeBF_Ac_rep12-kd-q5_peak_3958,282810192,283032284,222093,AAEL024147,-87220
AaegL5_1,284370055,284370317,263,*,aaeBF_Ac_rep12-kd-q5_peak_3975,284411417,284438021,26605,AAEL012397,67704
AaegL5_1,289195124,289195361,238,*,aaeBF_Ac_rep12-kd-q5_peak_4073,289386124,289399452,13329,AAEL004870,-190763
AaegL5_1,289216018,289216438,421,*,aaeBF_Ac_rep12-kd-q5_peak_4074,289386124,289399452,13329,AAEL004870,-169686
AaegL5_1,289216611,289216811,201,*,aaeBF_Ac_rep12-kd-q5_peak_4075,289386124,289399452,13329,AAEL004870,-169313
AaegL5_1,289241077,289241243,167,*,aaeBF_Ac_rep12-kd-q5_peak_4076,289386124,289399452,13329,AAEL004870,-144881
AaegL5_1,289242408,289242691,284,*,aaeBF_Ac_rep12-kd-q5_peak_4077,289386124,289399452,13329,AAEL004870,-143433
AaegL5_1,289319505,289319677,173,*,aaeBF_Ac_rep12-kd-q5_peak_4078,289386124,289399452,13329,AAEL004870,-66447
AaegL5_1,289328978,289329231,254,*,aaeBF_Ac_rep12-kd-q5_peak_4079,289386124,289399452,13329,AAEL004870,-56893
AaegL5_1,290056490,290056693,204,*,aaeBF_Ac_rep12-kd-q5_peak_4084,290196905,290230918,34014,AAEL019727,-140212
AaegL5_1,307024679,307024863,185,*,aaeBF_Ac_rep12-kd-q5_peak_4274,306963670,306964053,384,AAEL025891,61009
AaegL5_1,307026530,307026795,266,*,aaeBF_Ac_rep12-kd-q5_peak_4275,306963670,306964053,384,AAEL025891,62860
AaegL5_1,307027967,307028449,483,*,aaeBF_Ac_rep12-kd-q5_peak_4276,306963670,306964053,384,AAEL025891,64297
AaegL5_2,1806954,1807132,179,*,aaeBF_Ac_rep12-kd-q5_peak_4349,1610747,1612538,1792,AAEL008681,-194416
